queryid Q0 docid rank score sys_name
1.0 Q0 CACM-1605 1.0 25.8364315293 BM25
1.0 Q0 CACM-1410 2.0 25.7369068289 BM25
1.0 Q0 CACM-1506 3.0 22.1677348298 BM25
1.0 Q0 CACM-2319 4.0 21.4650143161 BM25
1.0 Q0 CACM-0585 5.0 21.4498356317 BM25
1.0 Q0 CACM-2379 6.0 21.3721038831 BM25
1.0 Q0 CACM-1519 7.0 20.9077081946 BM25
1.0 Q0 CACM-2054 8.0 20.7973347531 BM25
1.0 Q0 CACM-2947 9.0 20.7338135405 BM25
1.0 Q0 CACM-2380 10.0 20.6397976519 BM25
1.0 Q0 CACM-1805 11.0 20.3241002607 BM25
1.0 Q0 CACM-1523 12.0 20.1505310413 BM25
1.0 Q0 CACM-2358 13.0 20.0633678501 BM25
1.0 Q0 CACM-2632 14.0 19.9741571768 BM25
1.0 Q0 CACM-1591 15.0 19.8283532574 BM25
1.0 Q0 CACM-1033 16.0 19.64452534 BM25
1.0 Q0 CACM-1572 17.0 18.8830203006 BM25
1.0 Q0 CACM-1827 18.0 18.7078207836 BM25
1.0 Q0 CACM-3069 19.0 18.5250303094 BM25
1.0 Q0 CACM-1844 20.0 18.3931693926 BM25
1.0 Q0 CACM-0637 21.0 18.2238183741 BM25
1.0 Q0 CACM-1544 22.0 17.697592147 BM25
1.0 Q0 CACM-1264 23.0 17.6417290239 BM25
1.0 Q0 CACM-1464 24.0 17.6098182871 BM25
1.0 Q0 CACM-1938 25.0 17.5005969387 BM25
1.0 Q0 CACM-2946 26.0 17.4136924764 BM25
1.0 Q0 CACM-1161 27.0 17.3251706162 BM25
1.0 Q0 CACM-2950 28.0 17.3225913872 BM25
1.0 Q0 CACM-1393 29.0 17.2031367666 BM25
1.0 Q0 CACM-2535 30.0 17.0464987366 BM25
1.0 Q0 CACM-2003 31.0 16.9631557102 BM25
1.0 Q0 CACM-1647 32.0 16.903328277 BM25
1.0 Q0 CACM-2424 33.0 16.0592827226 BM25
1.0 Q0 CACM-3025 34.0 15.9435743514 BM25
1.0 Q0 CACM-2767 35.0 15.8961783714 BM25
1.0 Q0 CACM-2188 36.0 15.8932395096 BM25
1.0 Q0 CACM-1225 37.0 15.8801169296 BM25
1.0 Q0 CACM-1680 38.0 15.8597206456 BM25
1.0 Q0 CACM-1811 39.0 15.8214304673 BM25
1.0 Q0 CACM-2621 40.0 15.7472204563 BM25
1.0 Q0 CACM-2378 41.0 15.6200523612 BM25
1.0 Q0 CACM-1408 42.0 15.5186144678 BM25
1.0 Q0 CACM-1226 43.0 15.4479202184 BM25
1.0 Q0 CACM-2669 44.0 15.4444215125 BM25
1.0 Q0 CACM-1753 45.0 15.3699927369 BM25
1.0 Q0 CACM-1885 46.0 15.3464653097 BM25
1.0 Q0 CACM-1698 47.0 15.2227835632 BM25
1.0 Q0 CACM-1749 48.0 15.1280765219 BM25
1.0 Q0 CACM-2951 49.0 15.1263991098 BM25
1.0 Q0 CACM-0972 50.0 15.0909340645 BM25
1.0 Q0 CACM-2357 51.0 15.0537076595 BM25
1.0 Q0 CACM-3127 52.0 15.046519267 BM25
1.0 Q0 CACM-2201 53.0 15.0226805199 BM25
1.0 Q0 CACM-2541 54.0 14.9255179825 BM25
1.0 Q0 CACM-2288 55.0 14.8884370084 BM25
1.0 Q0 CACM-0616 56.0 14.8530029882 BM25
1.0 Q0 CACM-2297 57.0 14.8350555529 BM25
1.0 Q0 CACM-1315 58.0 14.8228455835 BM25
1.0 Q0 CACM-2371 59.0 14.7827537875 BM25
1.0 Q0 CACM-2625 60.0 14.7744642264 BM25
1.0 Q0 CACM-3153 61.0 14.6529617008 BM25
1.0 Q0 CACM-1542 62.0 14.6402207816 BM25
