queryid Q0 docid rank score sys_name
1.0 Q0 CACM-1605 1.0 25.8364315293 BM25
1.0 Q0 CACM-1410 2.0 25.7369068289 BM25
1.0 Q0 CACM-1506 3.0 23.3694752987 BM25
1.0 Q0 CACM-0585 4.0 23.1022287764 BM25
1.0 Q0 CACM-2054 5.0 22.8310493928 BM25
1.0 Q0 CACM-2380 6.0 22.2921907966 BM25
1.0 Q0 CACM-1519 7.0 22.1094486635 BM25
1.0 Q0 CACM-1591 8.0 21.7168025656 BM25
1.0 Q0 CACM-1805 9.0 21.5258407296 BM25
1.0 Q0 CACM-2319 10.0 21.4650143161 BM25
1.0 Q0 CACM-2379 11.0 21.3721038831 BM25
1.0 Q0 CACM-2947 12.0 20.7338135405 BM25
1.0 Q0 CACM-1523 13.0 20.1505310413 BM25
1.0 Q0 CACM-2358 14.0 20.0633678501 BM25
1.0 Q0 CACM-1844 15.0 20.0455625374 BM25
1.0 Q0 CACM-2632 16.0 19.9741571768 BM25
1.0 Q0 CACM-1033 17.0 19.64452534 BM25
1.0 Q0 CACM-0637 18.0 19.425558843 BM25
1.0 Q0 CACM-1572 19.0 18.8830203006 BM25
1.0 Q0 CACM-1264 20.0 18.8434694928 BM25
1.0 Q0 CACM-1827 21.0 18.7078207836 BM25
1.0 Q0 CACM-3069 22.0 18.5250303094 BM25
1.0 Q0 CACM-2003 23.0 18.1648961791 BM25
1.0 Q0 CACM-1647 24.0 18.1050687459 BM25
1.0 Q0 CACM-1544 25.0 17.697592147 BM25
1.0 Q0 CACM-1464 26.0 17.6098182871 BM25
1.0 Q0 CACM-1225 27.0 17.5325100743 BM25
1.0 Q0 CACM-1938 28.0 17.5005969387 BM25
1.0 Q0 CACM-2946 29.0 17.4136924764 BM25
1.0 Q0 CACM-1161 30.0 17.3251706162 BM25
1.0 Q0 CACM-2950 31.0 17.3225913872 BM25
1.0 Q0 CACM-2424 32.0 17.2610231915 BM25
1.0 Q0 CACM-1393 33.0 17.2031367666 BM25
1.0 Q0 CACM-2535 34.0 17.0464987366 BM25
1.0 Q0 CACM-2951 35.0 16.7787922545 BM25
1.0 Q0 CACM-1408 36.0 16.7203549367 BM25
1.0 Q0 CACM-0616 37.0 16.5053961329 BM25
1.0 Q0 CACM-1698 38.0 16.4245240321 BM25
1.0 Q0 CACM-1749 39.0 16.3298169908 BM25
1.0 Q0 CACM-0972 40.0 16.2926745334 BM25
1.0 Q0 CACM-2357 41.0 16.2554481284 BM25
1.0 Q0 CACM-2201 42.0 16.2244209888 BM25
1.0 Q0 CACM-1179 43.0 16.0277780165 BM25
1.0 Q0 CACM-3025 44.0 15.9435743514 BM25
1.0 Q0 CACM-2767 45.0 15.8961783714 BM25
1.0 Q0 CACM-2188 46.0 15.8932395096 BM25
1.0 Q0 CACM-0619 47.0 15.8746592998 BM25
1.0 Q0 CACM-1680 48.0 15.8597206456 BM25
1.0 Q0 CACM-1811 49.0 15.8214304673 BM25
1.0 Q0 CACM-1699 50.0 15.7726113509 BM25
1.0 Q0 CACM-2621 51.0 15.7472204563 BM25
1.0 Q0 CACM-1642 52.0 15.7098308577 BM25
1.0 Q0 CACM-1665 53.0 15.6416868324 BM25
1.0 Q0 CACM-2378 54.0 15.6200523612 BM25
1.0 Q0 CACM-1226 55.0 15.4479202184 BM25
1.0 Q0 CACM-2500 56.0 15.4454454998 BM25
1.0 Q0 CACM-2669 57.0 15.4444215125 BM25
1.0 Q0 CACM-1753 58.0 15.3699927369 BM25
1.0 Q0 CACM-1885 59.0 15.3464653097 BM25
1.0 Q0 CACM-2838 60.0 15.2948969462 BM25
1.0 Q0 CACM-1962 61.0 15.2609038454 BM25
1.0 Q0 CACM-2184 62.0 15.2450871781 BM25
