queryid Q0 docid rank score sys_name
12.0 Q0 CACM-3127 1.0 18.6388697132 BM25
12.0 Q0 CACM-2246 2.0 12.9969125507 BM25
12.0 Q0 CACM-3196 3.0 10.7258052401 BM25
12.0 Q0 CACM-1930 4.0 9.82018546364 BM25
12.0 Q0 CACM-1591 5.0 9.47864376033 BM25
12.0 Q0 CACM-1680 6.0 9.45565188945 BM25
12.0 Q0 CACM-3068 7.0 9.12637824784 BM25
12.0 Q0 CACM-1236 8.0 8.89560557894 BM25
12.0 Q0 CACM-1033 9.0 8.89380673594 BM25
12.0 Q0 CACM-2740 10.0 8.75491055984 BM25
12.0 Q0 CACM-1750 11.0 8.62687848527 BM25
12.0 Q0 CACM-1534 12.0 8.43004339109 BM25
12.0 Q0 CACM-2424 13.0 8.38111259778 BM25
12.0 Q0 CACM-2379 14.0 8.28073117244 BM25
12.0 Q0 CACM-1519 15.0 8.25146768997 BM25
12.0 Q0 CACM-2357 16.0 8.2407325308 BM25
12.0 Q0 CACM-2920 17.0 8.15405201907 BM25
12.0 Q0 CACM-1461 18.0 8.10275453513 BM25
12.0 Q0 CACM-0585 19.0 8.09704612711 BM25
12.0 Q0 CACM-2064 20.0 8.09472261368 BM25
12.0 Q0 CACM-1472 21.0 8.06638357263 BM25
12.0 Q0 CACM-2153 22.0 8.05904745592 BM25
12.0 Q0 CACM-2629 23.0 8.05861308217 BM25
12.0 Q0 CACM-2798 24.0 7.99186923988 BM25
12.0 Q0 CACM-2735 25.0 7.99094091897 BM25
12.0 Q0 CACM-2319 26.0 7.97330935858 BM25
12.0 Q0 CACM-0322 27.0 7.96364242239 BM25
12.0 Q0 CACM-2541 28.0 7.90301711112 BM25
12.0 Q0 CACM-3025 29.0 7.85699001771 BM25
12.0 Q0 CACM-2372 30.0 7.83502529117 BM25
12.0 Q0 CACM-0972 31.0 7.79436132714 BM25
12.0 Q0 CACM-1755 32.0 7.7899297393 BM25
12.0 Q0 CACM-2092 33.0 7.78037925377 BM25
12.0 Q0 CACM-1264 34.0 7.7485804435 BM25
12.0 Q0 CACM-1247 35.0 7.66436627233 BM25
12.0 Q0 CACM-1108 36.0 7.65825300036 BM25
12.0 Q0 CACM-1168 37.0 7.61447721927 BM25
12.0 Q0 CACM-1912 38.0 7.56114596732 BM25
12.0 Q0 CACM-2593 39.0 7.55792248599 BM25
12.0 Q0 CACM-1657 40.0 7.54405664196 BM25
12.0 Q0 CACM-1462 41.0 7.5131918788 BM25
12.0 Q0 CACM-3089 42.0 7.49833060338 BM25
12.0 Q0 CACM-2796 43.0 7.43130236821 BM25
12.0 Q0 CACM-2399 44.0 7.42862407218 BM25
12.0 Q0 CACM-2378 45.0 7.42210584766 BM25
12.0 Q0 CACM-1071 46.0 7.41728208099 BM25
12.0 Q0 CACM-1766 47.0 7.4115187267 BM25
12.0 Q0 CACM-3137 48.0 7.39453233762 BM25
12.0 Q0 CACM-1938 49.0 7.36500065348 BM25
12.0 Q0 CACM-1034 50.0 7.3456775452 BM25
12.0 Q0 CACM-0252 51.0 7.32773686558 BM25
12.0 Q0 CACM-2482 52.0 7.31243302334 BM25
12.0 Q0 CACM-1752 53.0 7.30617548589 BM25
12.0 Q0 CACM-1652 54.0 7.30085393117 BM25
12.0 Q0 CACM-2219 55.0 7.29727256841 BM25
12.0 Q0 CACM-2065 56.0 7.28877100952 BM25
12.0 Q0 CACM-2950 57.0 7.27407751373 BM25
12.0 Q0 CACM-1163 58.0 7.26229318784 BM25
