queryid Q0 docid rank score sys_name
1.0 Q0 CACM-1410 1.0 20.8237234237 BM25_stopping
1.0 Q0 CACM-2380 2.0 18.4596073457 BM25_stopping
1.0 Q0 CACM-1605 3.0 17.7556044136 BM25_stopping
1.0 Q0 CACM-1519 4.0 16.8307901413 BM25_stopping
1.0 Q0 CACM-1506 5.0 16.3946131673 BM25_stopping
1.0 Q0 CACM-2358 6.0 16.3587349043 BM25_stopping
1.0 Q0 CACM-1523 7.0 16.2749535507 BM25_stopping
1.0 Q0 CACM-3025 8.0 15.4913480386 BM25_stopping
1.0 Q0 CACM-2319 9.0 15.2978316144 BM25_stopping
1.0 Q0 CACM-0585 10.0 14.9178063603 BM25_stopping
1.0 Q0 CACM-1805 11.0 14.7834989555 BM25_stopping
1.0 Q0 CACM-2951 12.0 14.361093042 BM25_stopping
1.0 Q0 CACM-2379 13.0 14.2219453458 BM25_stopping
1.0 Q0 CACM-1572 14.0 13.8810067269 BM25_stopping
1.0 Q0 CACM-2632 15.0 13.3628790186 BM25_stopping
1.0 Q0 CACM-1753 16.0 13.3493629204 BM25_stopping
1.0 Q0 CACM-1680 17.0 13.1724103444 BM25_stopping
1.0 Q0 CACM-2947 18.0 13.0738903273 BM25_stopping
1.0 Q0 CACM-2621 19.0 13.0599101551 BM25_stopping
1.0 Q0 CACM-1544 20.0 12.9539936091 BM25_stopping
1.0 Q0 CACM-3069 21.0 12.8445255459 BM25_stopping
1.0 Q0 CACM-1938 22.0 12.7926568209 BM25_stopping
1.0 Q0 CACM-0971 23.0 12.6583494161 BM25_stopping
1.0 Q0 CACM-1749 24.0 12.6552203925 BM25_stopping
1.0 Q0 CACM-1315 25.0 12.4881680275 BM25_stopping
1.0 Q0 CACM-1591 26.0 12.4269385726 BM25_stopping
1.0 Q0 CACM-2054 27.0 12.3224465982 BM25_stopping
1.0 Q0 CACM-2371 28.0 12.2742392379 BM25_stopping
1.0 Q0 CACM-1161 29.0 12.1605699946 BM25_stopping
1.0 Q0 CACM-1844 30.0 12.0104370299 BM25_stopping
1.0 Q0 CACM-2740 31.0 11.5654433831 BM25_stopping
1.0 Q0 CACM-1642 32.0 11.4348499048 BM25_stopping
1.0 Q0 CACM-3048 33.0 11.3418142572 BM25_stopping
1.0 Q0 CACM-1179 34.0 11.3177344037 BM25_stopping
1.0 Q0 CACM-1647 35.0 11.1424070944 BM25_stopping
1.0 Q0 CACM-2950 36.0 11.0567831022 BM25_stopping
1.0 Q0 CACM-2317 37.0 10.8207157974 BM25_stopping
1.0 Q0 CACM-2424 38.0 10.7590302678 BM25_stopping
1.0 Q0 CACM-2357 39.0 10.7255334587 BM25_stopping
1.0 Q0 CACM-1526 40.0 10.6806115936 BM25_stopping
1.0 Q0 CACM-1341 41.0 10.6806115936 BM25_stopping
1.0 Q0 CACM-1792 42.0 10.6806115936 BM25_stopping
1.0 Q0 CACM-1464 43.0 10.673875255 BM25_stopping
1.0 Q0 CACM-2372 44.0 10.673875255 BM25_stopping
1.0 Q0 CACM-1264 45.0 10.5914165109 BM25_stopping
1.0 Q0 CACM-2219 46.0 10.5021440597 BM25_stopping
1.0 Q0 CACM-3127 47.0 10.5021440597 BM25_stopping
1.0 Q0 CACM-1033 48.0 10.4489714587 BM25_stopping
1.0 Q0 CACM-1236 49.0 10.4094246934 BM25_stopping
1.0 Q0 CACM-0637 50.0 10.3630184881 BM25_stopping
1.0 Q0 CACM-1408 51.0 10.2635979118 BM25_stopping
1.0 Q0 CACM-2946 52.0 10.259852025 BM25_stopping
1.0 Q0 CACM-2626 53.0 10.1621940107 BM25_stopping
1.0 Q0 CACM-1960 54.0 10.0233583138 BM25_stopping
1.0 Q0 CACM-2053 55.0 9.92916786452 BM25_stopping
1.0 Q0 CACM-1827 56.0 9.79448543362 BM25_stopping
1.0 Q0 CACM-2624 57.0 9.61249361611 BM25_stopping
1.0 Q0 CACM-3105 58.0 9.55928513148 BM25_stopping
1.0 Q0 CACM-2535 59.0 9.51116229337 BM25_stopping
1.0 Q0 CACM-1225 60.0 9.49738456686 BM25_stopping
1.0 Q0 CACM-1462 61.0 9.44787644023 BM25_stopping
1.0 Q0 CACM-2629 62.0 9.29733569967 BM25_stopping
1.0 Q0 CACM-1685 63.0 9.1614702794 BM25_stopping
1.0 Q0 CACM-2892 64.0 9.15772439251 BM25_stopping
1.0 Q0 CACM-2297 65.0 9.15076405889 BM25_stopping
1.0 Q0 CACM-1046 66.0 9.04288747227 BM25_stopping
1.0 Q0 CACM-1195 67.0 9.01725755501 BM25_stopping
1.0 Q0 CACM-3112 68.0 8.92517581437 BM25_stopping
1.0 Q0 CACM-2128 69.0 8.90726909059 BM25_stopping
1.0 Q0 CACM-1750 70.0 8.79062316039 BM25_stopping
1.0 Q0 CACM-0796 71.0 8.78694138383 BM25_stopping
1.0 Q0 CACM-2188 72.0 8.71951938961 BM25_stopping
1.0 Q0 CACM-1542 73.0 8.68749225166 BM25_stopping
1.0 Q0 CACM-2375 74.0 8.53242182124 BM25_stopping
1.0 Q0 CACM-1113 75.0 8.47436265989 BM25_stopping
1.0 Q0 CACM-2500 76.0 8.42213897305 BM25_stopping
1.0 Q0 CACM-1747 77.0 8.35631334723 BM25_stopping
1.0 Q0 CACM-1885 78.0 8.32382191934 BM25_stopping
1.0 Q0 CACM-0414 79.0 8.15162363372 BM25_stopping
1.0 Q0 CACM-2669 80.0 8.13470248555 BM25_stopping
1.0 Q0 CACM-1698 81.0 8.04341776894 BM25_stopping
1.0 Q0 CACM-1393 82.0 8.04049877909 BM25_stopping
1.0 Q0 CACM-0397 83.0 7.956333662 BM25_stopping
1.0 Q0 CACM-2868 84.0 7.95623495161 BM25_stopping
1.0 Q0 CACM-2920 85.0 7.95623495161 BM25_stopping
1.0 Q0 CACM-2938 86.0 7.95255317505 BM25_stopping
1.0 Q0 CACM-2912 87.0 7.95255317505 BM25_stopping
1.0 Q0 CACM-2622 88.0 7.92352105075 BM25_stopping
1.0 Q0 CACM-2452 89.0 7.78757396711 BM25_stopping
1.0 Q0 CACM-1168 90.0 7.78586366754 BM25_stopping
1.0 Q0 CACM-2541 91.0 7.76218426256 BM25_stopping
1.0 Q0 CACM-2988 92.0 7.75179463827 BM25_stopping
1.0 Q0 CACM-1697 93.0 7.70458449163 BM25_stopping
1.0 Q0 CACM-2344 94.0 7.66933589421 BM25_stopping
1.0 Q0 CACM-2597 95.0 7.62646964827 BM25_stopping
1.0 Q0 CACM-2378 96.0 7.62646964827 BM25_stopping
1.0 Q0 CACM-1752 97.0 7.53879486352 BM25_stopping
1.0 Q0 CACM-1534 98.0 7.53879486352 BM25_stopping
1.0 Q0 CACM-2374 99.0 7.53179360637 BM25_stopping
1.0 Q0 CACM-2625 100.0 7.53179360637 BM25_stopping
2.0 Q0 CACM-2863 1.0 9.27534753328 BM25_stopping
2.0 Q0 CACM-2434 2.0 9.27534753328 BM25_stopping
2.0 Q0 CACM-3078 3.0 8.25369628575 BM25_stopping
2.0 Q0 CACM-1046 4.0 5.20854894565 BM25_stopping
2.0 Q0 CACM-0397 5.0 5.20854894565 BM25_stopping
2.0 Q0 CACM-0492 6.0 3.98289646045 BM25_stopping
2.0 Q0 CACM-0616 7.0 3.98289646045 BM25_stopping
2.0 Q0 CACM-1397 8.0 3.98289646045 BM25_stopping
2.0 Q0 CACM-0435 9.0 3.98289646045 BM25_stopping
2.0 Q0 CACM-1623 10.0 3.98289646045 BM25_stopping
2.0 Q0 CACM-1867 11.0 3.98289646045 BM25_stopping
2.0 Q0 CACM-0531 12.0 3.98289646045 BM25_stopping
2.0 Q0 CACM-1014 13.0 3.98289646045 BM25_stopping
2.0 Q0 CACM-3202 14.0 2.40740701294 BM25_stopping
2.0 Q0 CACM-2645 15.0 2.40740701294 BM25_stopping
2.0 Q0 CACM-1705 16.0 2.40740701294 BM25_stopping
2.0 Q0 CACM-1625 17.0 2.40740701294 BM25_stopping
2.0 Q0 CACM-1591 18.0 2.40740701294 BM25_stopping
2.0 Q0 CACM-1315 19.0 2.40740701294 BM25_stopping
2.0 Q0 CACM-1305 20.0 2.40740701294 BM25_stopping
2.0 Q0 CACM-2850 21.0 1.75084146395 BM25_stopping
2.0 Q0 CACM-1464 22.0 1.75084146395 BM25_stopping
2.0 Q0 CACM-1469 23.0 1.75084146395 BM25_stopping
2.0 Q0 CACM-1468 24.0 1.75084146395 BM25_stopping
2.0 Q0 CACM-1680 25.0 1.75084146395 BM25_stopping
2.0 Q0 CACM-1676 26.0 1.75084146395 BM25_stopping
2.0 Q0 CACM-1671 27.0 1.75084146395 BM25_stopping
2.0 Q0 CACM-1214 28.0 1.75084146395 BM25_stopping
