queryid Q0 docid rank score sys_name
1.0 Q0 CACM-1033 1.0 0.33575719594 tfidf
1.0 Q0 CACM-1591 2.0 0.324006889358 tfidf
1.0 Q0 CACM-2685 3.0 0.320469992663 tfidf
1.0 Q0 CACM-1519 4.0 0.309763289448 tfidf
1.0 Q0 CACM-2917 5.0 0.308653473505 tfidf
1.0 Q0 CACM-2371 6.0 0.306821765644 tfidf
1.0 Q0 CACM-1735 7.0 0.302551566894 tfidf
1.0 Q0 CACM-0414 8.0 0.28063002737 tfidf
1.0 Q0 CACM-1304 9.0 0.278596698519 tfidf
1.0 Q0 CACM-1605 10.0 0.271793901346 tfidf
1.0 Q0 CACM-0069 11.0 0.260065184476 tfidf
1.0 Q0 CACM-1161 12.0 0.259162681734 tfidf
1.0 Q0 CACM-2560 13.0 0.258425566593 tfidf
1.0 Q0 CACM-1506 14.0 0.257257355431 tfidf
1.0 Q0 CACM-1226 15.0 0.256785173549 tfidf
1.0 Q0 CACM-1657 16.0 0.252234158088 tfidf
1.0 Q0 CACM-1938 17.0 0.250398769139 tfidf
1.0 Q0 CACM-2621 18.0 0.250243114939 tfidf
1.0 Q0 CACM-1264 19.0 0.249997694093 tfidf
1.0 Q0 CACM-3048 20.0 0.249048070008 tfidf
1.0 Q0 CACM-2357 21.0 0.248878488723 tfidf
1.0 Q0 CACM-2984 22.0 0.247100385558 tfidf
1.0 Q0 CACM-1168 23.0 0.24462456852 tfidf
1.0 Q0 CACM-0827 24.0 0.243204151848 tfidf
1.0 Q0 CACM-1642 25.0 0.242606545734 tfidf
1.0 Q0 CACM-0252 26.0 0.242056299059 tfidf
1.0 Q0 CACM-2948 27.0 0.236216659212 tfidf
1.0 Q0 CACM-2950 28.0 0.235946673041 tfidf
1.0 Q0 CACM-1680 29.0 0.232501415882 tfidf
1.0 Q0 CACM-1956 30.0 0.231705557162 tfidf
1.0 Q0 CACM-1523 31.0 0.230806864282 tfidf
1.0 Q0 CACM-0704 32.0 0.230718432935 tfidf
1.0 Q0 CACM-1295 33.0 0.230169353751 tfidf
1.0 Q0 CACM-1195 34.0 0.228275832591 tfidf
1.0 Q0 CACM-0594 35.0 0.227838676119 tfidf
1.0 Q0 CACM-0275 36.0 0.227838676119 tfidf
1.0 Q0 CACM-1571 37.0 0.226400503148 tfidf
1.0 Q0 CACM-3127 38.0 0.223888454685 tfidf
1.0 Q0 CACM-2796 39.0 0.222448591858 tfidf
1.0 Q0 CACM-2542 40.0 0.222013205028 tfidf
1.0 Q0 CACM-1315 41.0 0.220878675455 tfidf
1.0 Q0 CACM-1755 42.0 0.220719686791 tfidf
1.0 Q0 CACM-0050 43.0 0.217333003776 tfidf
1.0 Q0 CACM-0234 44.0 0.217333003776 tfidf
1.0 Q0 CACM-0887 45.0 0.215671578613 tfidf
1.0 Q0 CACM-0198 46.0 0.215309112178 tfidf
1.0 Q0 CACM-1544 47.0 0.214949416766 tfidf
1.0 Q0 CACM-2764 48.0 0.214483166739 tfidf
1.0 Q0 CACM-2627 49.0 0.213870401253 tfidf
1.0 Q0 CACM-1750 50.0 0.21346364449 tfidf
1.0 Q0 CACM-1173 51.0 0.211815865388 tfidf
1.0 Q0 CACM-1885 52.0 0.2116339305 tfidf
1.0 Q0 CACM-2054 53.0 0.211503719481 tfidf
1.0 Q0 CACM-2947 54.0 0.210720992145 tfidf
1.0 Q0 CACM-0698 55.0 0.210632994999 tfidf
1.0 Q0 CACM-1410 56.0 0.210158296579 tfidf
1.0 Q0 CACM-0195 57.0 0.209021890325 tfidf
1.0 Q0 CACM-0971 58.0 0.208867942933 tfidf
1.0 Q0 CACM-1247 59.0 0.208743953112 tfidf
1.0 Q0 CACM-0397 60.0 0.208521983872 tfidf
1.0 Q0 CACM-1482 61.0 0.206316981791 tfidf
1.0 Q0 CACM-3012 62.0 0.205640964174 tfidf
1.0 Q0 CACM-3068 63.0 0.205347051994 tfidf
1.0 Q0 CACM-1827 64.0 0.204423536629 tfidf
1.0 Q0 CACM-1685 65.0 0.20358173977 tfidf
1.0 Q0 CACM-0294 66.0 0.203314796208 tfidf
1.0 Q0 CACM-2398 67.0 0.202122267117 tfidf
